Date,Course,RaceNumber
23/03/2014,ST,3
23/03/2014,ST,4
23/03/2014,ST,5
23/03/2014,ST,6
23/03/2014,ST,7
23/03/2014,ST,8
23/03/2014,ST,9
23/03/2014,ST,10
23/03/2014,ST,11
26/03/2014,ST,1
26/03/2014,ST,2
26/03/2014,ST,3
26/03/2014,ST,4
26/03/2014,ST,5
26/03/2014,ST,6
26/03/2014,ST,7
26/03/2014,ST,8
30/03/2014,ST,1
30/03/2014,ST,2
30/03/2014,ST,3
30/03/2014,ST,4
30/03/2014,ST,5
30/03/2014,ST,6
30/03/2014,ST,7
30/03/2014,ST,8
30/03/2014,ST,9
30/03/2014,ST,10
02/04/2014,HV,1
02/04/2014,HV,2
02/04/2014,HV,3
02/04/2014,HV,4
02/04/2014,HV,5
02/04/2014,HV,6
02/04/2014,HV,7
02/04/2014,HV,8
06/04/2014,ST,1
06/04/2014,ST,2
06/04/2014,ST,3
06/04/2014,ST,4
06/04/2014,ST,5
06/04/2014,ST,6
06/04/2014,ST,7
06/04/2014,ST,8
06/04/2014,ST,9
06/04/2014,ST,10
09/04/2014,HV,1
09/04/2014,HV,2
09/04/2014,HV,3
09/04/2014,HV,4
09/04/2014,HV,5
09/04/2014,HV,6
09/04/2014,HV,7
09/04/2014,HV,8
13/04/2014,ST,1
13/04/2014,ST,2
13/04/2014,ST,3
13/04/2014,ST,4
13/04/2014,ST,5
13/04/2014,ST,6
13/04/2014,ST,7
13/04/2014,ST,8
13/04/2014,ST,9
13/04/2014,ST,10
13/04/2014,ST,11
16/04/2014,HV,1
16/04/2014,HV,2
16/04/2014,HV,3
16/04/2014,HV,4
16/04/2014,HV,5
16/04/2014,HV,6
16/04/2014,HV,7
16/04/2014,HV,8
21/04/2014,ST,1
21/04/2014,ST,2
21/04/2014,ST,3
21/04/2014,ST,4
21/04/2014,ST,5
21/04/2014,ST,6
21/04/2014,ST,7
21/04/2014,ST,8
21/04/2014,ST,9
21/04/2014,ST,10
27/04/2014,ST,1
27/04/2014,ST,2
27/04/2014,ST,3
27/04/2014,ST,4
27/04/2014,ST,5
27/04/2014,ST,6
27/04/2014,ST,7
27/04/2014,ST,8
27/04/2014,ST,9
27/04/2014,ST,10
30/04/2014,HV,1
30/04/2014,HV,2
30/04/2014,HV,3
30/04/2014,HV,4
30/04/2014,HV,5
30/04/2014,HV,6
30/04/2014,HV,7
30/04/2014,HV,8
04/05/2014,ST,1
04/05/2014,ST,2
04/05/2014,ST,3
04/05/2014,ST,4
04/05/2014,ST,5
04/05/2014,ST,6
04/05/2014,ST,7
04/05/2014,ST,8
04/05/2014,ST,9
04/05/2014,ST,10
04/05/2014,ST,11
07/05/2014,HV,1
07/05/2014,HV,2
07/05/2014,HV,3
07/05/2014,HV,4
07/05/2014,HV,5
07/05/2014,HV,6
07/05/2014,HV,7
07/05/2014,HV,8
10/05/2014,ST,1
10/05/2014,ST,2
10/05/2014,ST,3
10/05/2014,ST,4
10/05/2014,ST,5
10/05/2014,ST,6
10/05/2014,ST,7
10/05/2014,ST,8
10/05/2014,ST,9
10/05/2014,ST,10
14/05/2014,HV,1
14/05/2014,HV,2
14/05/2014,HV,3
14/05/2014,HV,4
14/05/2014,HV,5
14/05/2014,HV,6
14/05/2014,HV,7
14/05/2014,HV,8
17/05/2014,ST,1
17/05/2014,ST,2
17/05/2014,ST,3
17/05/2014,ST,4
17/05/2014,ST,5
17/05/2014,ST,6
17/05/2014,ST,7
17/05/2014,ST,8
17/05/2014,ST,9
17/05/2014,ST,10
21/05/2014,HV,1
21/05/2014,HV,2
21/05/2014,HV,3
21/05/2014,HV,4
21/05/2014,HV,5
21/05/2014,HV,6
21/05/2014,HV,7
21/05/2014,HV,8
25/05/2014,ST,1
25/05/2014,ST,2
25/05/2014,ST,3
25/05/2014,ST,4
25/05/2014,ST,5
25/05/2014,ST,6
25/05/2014,ST,7
25/05/2014,ST,8
25/05/2014,ST,9
25/05/2014,ST,10
25/05/2014,ST,11
28/05/2014,HV,1
28/05/2014,HV,2
28/05/2014,HV,3
28/05/2014,HV,4
28/05/2014,HV,5
28/05/2014,HV,6
28/05/2014,HV,7
28/05/2014,HV,8
01/06/2014,ST,1
01/06/2014,ST,2
01/06/2014,ST,3
01/06/2014,ST,4
01/06/2014,ST,5
01/06/2014,ST,6
01/06/2014,ST,7
01/06/2014,ST,8
01/06/2014,ST,9
01/06/2014,ST,10
05/06/2014,HV,1
05/06/2014,HV,2
05/06/2014,HV,3
05/06/2014,HV,4
05/06/2014,HV,5
05/06/2014,HV,6
05/06/2014,HV,7
05/06/2014,HV,8
08/06/2014,ST,1
08/06/2014,ST,2
08/06/2014,ST,3
08/06/2014,ST,4
08/06/2014,ST,5
08/06/2014,ST,6
08/06/2014,ST,7
08/06/2014,ST,8
08/06/2014,ST,9
08/06/2014,ST,10
08/06/2014,ST,11
11/06/2014,ST,1
11/06/2014,ST,2
11/06/2014,ST,3
11/06/2014,ST,4
11/06/2014,ST,5
11/06/2014,ST,6
11/06/2014,ST,7
11/06/2014,ST,8
15/06/2014,ST,1
15/06/2014,ST,2
15/06/2014,ST,3
15/06/2014,ST,4
15/06/2014,ST,5
15/06/2014,ST,6
15/06/2014,ST,7
15/06/2014,ST,8
15/06/2014,ST,9
15/06/2014,ST,10
15/06/2014,ST,11
18/06/2014,ST,1
18/06/2014,ST,2
18/06/2014,ST,3
18/06/2014,ST,4
18/06/2014,ST,5
18/06/2014,ST,6
18/06/2014,ST,7
18/06/2014,ST,8
22/06/2014,ST,1
22/06/2014,ST,2
22/06/2014,ST,3
22/06/2014,ST,4
22/06/2014,ST,5
22/06/2014,ST,6
22/06/2014,ST,7
22/06/2014,ST,8
22/06/2014,ST,9
22/06/2014,ST,10
25/06/2014,ST,1
25/06/2014,ST,2
25/06/2014,ST,3
25/06/2014,ST,4
25/06/2014,ST,5
25/06/2014,ST,6
