Placing,Horse No,Horse Name,Jockey,Gear,Comment,Date,RaceNumber
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2016-11-30,11
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2016-11-30,12
Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,Comments on Running is not available for this race.,2016-11-30,13
1,4,SLEDGE HAMMER  (N405),J Moreira,--,"Raced wide in better than midfield early, taken back behind midfield to be closer to rails coming onto home bend, switched out for a run entering straight, ran on well to assert authority close to home.",2016-12-04,1
2,5,GIDDY GIDDY  (S367),B Prebble,B/H/TT,"Broke well, disputed lead rounding home bend, fought on under pressure but overshadowed by eventual winner close to home.",2016-12-04,1
3,11,STARRY STARLIES  (T429),H T Mo,B,"Niggled at after a moderate start, remained in last few to the 400 metres, produced good late impression inside the final 200 metres.",2016-12-04,1
4,2,RUGBY DIAMOND  (S432),N Rawiller,B,"Jumped fairly, soon took up running on rails, led before joined by eventual runner-up around the bend, re-gained slender lead over 200 metres out, but unable to sustain effort and overhauled close to home.",2016-12-04,1
5,1,BORN DRAGON  (V009),K Teetan,TT,"Began fairly from the widest gate, pressed forward in prominent position while remaining wide, taken back for cover in 2L 4th rounding home bend, kept on one pace under pressure.",2016-12-04,1
6,3,POWER DRAGON  (V129),C Schofield,B1,"Slightly slow out, soon recovered on rails to forward of midfield gaining to 5th some 3L back on home bend, kept on same pace in straight.",2016-12-04,1
7,9,ORIENTAL FANTASIA  (P269),N Callan,B,"Ridden early, settled in 2L 4th on rails, became 3rd in the same box-seat rounding home bend, faded under pressure upon straightening.",2016-12-04,1
8,8,ATOMIC BLAST  (T203),K K Chiong,TT,"Lacked pace despite ridden along, produced good late impression in closing stages.",2016-12-04,1
9,6,NO LAUGHING MATTER  (V032),Z Purton,B/TT,"Niggled along in midfield to straight, made no impression in the run home.",2016-12-04,1
10,10,SOCCER BRAVE  (T233),D Whyte,B/TT,"Moderate start, settled behind midfield on rails, kept on in straight.",2016-12-04,1
11,7,FLYING CAPTAIN  (S350),S De Sousa,--,"Moderate beginning, niggled along in forward of midfield, came under pressure approaching home turn, found nothing.",2016-12-04,1
12,12,PARENTAL SPIRIT  (S368),H W Lai,B/H,Never seen with a chance.,2016-12-04,1
1,1,DRAGON HARMONY  (T283),J Moreira,P-/B2/TT,"Hard ridden to take rail and lead, never being challenged, drifted away 400M to score.",2016-12-04,2
2,7,FAITHFUL BOY  (T089),C Schofield,B/H,"Hard ridden forward, 1 out 1 back, just held ground for 2nd.",2016-12-04,2
3,6,COMMANDANT  (P286),O Doleuze,PC/TT,"Pushed to occupy box seat, just held ground in straight for 3rd.",2016-12-04,2
4,10,SWEET BEAN  (S205),N Rawiller,B,"Hard ridden to keep up behind midfield, 2-3 wide, dashed strongly 300M.",2016-12-04,2
5,5,TELEPHATIA  (P405),Z Purton,B/TT,"Eased back along the fence, dashed well 200M.",2016-12-04,2
6,12,MIGHTY WONGCHOY  (S050),S De Sousa,P,"Hard ridden early but not muster, midfield along the fence, just held ground in final stages.",2016-12-04,2
7,13,MIZZEN GREY  (N192),T H So,B,"Pushed early but not muster, took rail at back, lack turn of foot in straight.",2016-12-04,2
8,3,GORGEOUS AGAIN  (V326),C Y Ho,B/H/TT,"At rear, trapped 3-4 wide early, took rail prior to 800M, no dash.",2016-12-04,2
9,2,PRECISIONCRAFTSMAN  (V036),H T Mo,B,"Pushed early, 2-3 wide at back, no turn of foot.",2016-12-04,2
10,14,DRAGON GLORY  (P130),K Teetan,B/XB/TT,"Hard ridden forward, trapped 3 wide, emptied 500M.",2016-12-04,2
11,4,HAPPY FRIENDSHIP  (S074),N Callan,CP2/TT,"Hard ridden to keep up in midfield, trapped 3-4 wide, no progress.",2016-12-04,2
12,8,KERKENI  (T053),O Murphy,B/H/TT,"At rear, raced 4-5 wide throughout, never improved.",2016-12-04,2
13,11,PLENTY OF SPEED  (P401),K K Chiong,V,"Hard ridden forward, trapped 4-5 wide throughout in midfield, faded rapidly 600M.",2016-12-04,2
14,9,RAINBOW GOLD  (T237),K C Leung,B-/H1/V1/TT-,"Never competitive, tailed out.",2016-12-04,2
1,11,FOREVER ACCURATE  (S301),N Callan,B,"Pushed forward to hold the fence and share the lead, kept on strongly to score by a head.",2016-12-04,3
2,3,HOT HOT PEPPER  (V026),Z Purton,B,"Pressed forward to park outside the leader, fought on gamely until weakened over the concluding stages, missed by a head.",2016-12-04,3
3,9,MONEY BOY  (A008),J Moreira,--,"Eased to midfield, travelled 4.5Ls behind the leader 2 wide with cover, ran on gradually for 3rd.",2016-12-04,3
4,4,AUTOPAY  (A027),K C Leung,H1/TT,"Prominent, travelled 2Ls behind the leader on the fence, kept on steadily for 4th.",2016-12-04,3
