Letter,HorseName,Rating,URL
C,COMET PATCH,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K225
C,COMET VIGOUR,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J416
C,CONRAD THE GREAT,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K217
C,COPARTNER FLEET,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K342
C,CORLEONE,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J426
C,CRYSTAL POWERFUL,52,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H068
C,CALIFORNIA BANNER,51,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J132
C,CAPITAL LEGEND,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G333
C,CARRYON SMILING,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J392
C,CASA RUBICK,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K299
C,COME FAST FAY FAY,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K121
C,CONSPIRACY WITNESS,50,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J541
C,CALIFORNIA STAR,48,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J123
C,CELESTIAL HARMONY,48,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K059
C,CELESTIAL PATCH,48,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K151
C,COSMO LIGHT,48,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J379
C,CALIFORNIA BLITZ,47,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J370
C,CHAMPION METHOD,47,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H366
C,CLUB ACE,47,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J523
C,COUNTRY DANCER,47,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H436
C,CHILL MASTER,44,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J319
C,CIRCUS REEL,44,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J274
C,COLONEL,44,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2019_D090
C,COLOURFUL WINNER,43,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J312
C,CALIFORNIA MOXIE,41,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J131
C,CIRCUIT VICTORY,41,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H487
C,COSMO NAVIGATOR,41,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H156
C,CRAZY TREASURE,41,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J063
C,CIRCUIT MIGHTY,40,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G078
C,CONFRINGO,40,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J322
C,CASHISCASH,39,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J369
C,CERVIN,39,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H253
C,COURIER MAGIC,39,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H290
C,CHILLI BABA,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G339
C,CIRCUIT FIERY,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H475
C,CONCORDE STAR,38,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J344
C,CELTIC TIMES,37,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G230
C,CAMP FIRE,36,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J259
C,COMMANDING MISSILE,36,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G210
C,CHEER FOR SOUTH,34,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H178
C,CHATEAU LE PECHE,32,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H471
C,COLOURFUL BARON,31,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G301
C,CASA LEGEND,28,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G126
C,COOL BLUE,26,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_H011
C,CALIFORNIA ICON,13,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H404
C,CHILL PARTNERS,,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K484
C,CIRCUIT HAPPY,,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K482
D,DIVANO,102,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J142
D,DROMBEG BANNER,94,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H117
D,DANCING CODE,84,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G365
D,DREAM WINNER,74,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2022_H308
D,DRAGON AIR FORCE,73,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J279
D,DEFINITIVE,69,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K037
D,DRAGON JOY,69,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J278
D,DRAGON FOUR SEAS,66,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2023_J317
D,DENFIELD,62,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2021_G471
D,DAZZLING FIT,60,https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2024_K298
