Date,Course,RaceNumber,ComputedStartTime,Start_time,Race_datetime,temperature,humidity,rainfall
2010-04-10,ST,9,17:40:00,17:40:00,2010-04-10 17:40:00,24.0,,0.0
2010-04-10,ST,10,18:15:00,18:15:00,2010-04-10 18:15:00,24.0,,0.0
2010-04-18,HV,1,13:00:00,13:00:00,2010-04-18 13:00:00,24.0,,
2010-04-18,HV,2,13:35:00,13:35:00,2010-04-18 13:35:00,24.0,,
2010-04-18,HV,3,14:10:00,14:10:00,2010-04-18 14:10:00,24.0,,
2010-04-18,HV,4,14:45:00,14:45:00,2010-04-18 14:45:00,24.0,,
2010-04-18,HV,5,15:20:00,15:20:00,2010-04-18 15:20:00,24.0,,
2010-04-18,HV,6,15:55:00,15:55:00,2010-04-18 15:55:00,24.0,,
2010-04-18,HV,7,16:30:00,16:30:00,2010-04-18 16:30:00,24.0,,
2010-04-18,HV,8,17:05:00,17:05:00,2010-04-18 17:05:00,24.0,,
2010-04-18,HV,9,17:40:00,17:40:00,2010-04-18 17:40:00,24.0,,
2010-04-18,HV,10,18:15:00,18:15:00,2010-04-18 18:15:00,24.0,,
2010-04-21,HV,1,19:15:00,19:15:00,2010-04-21 19:15:00,24.0,,
2010-04-21,HV,2,19:50:00,19:50:00,2010-04-21 19:50:00,24.0,,
2010-04-21,HV,3,20:25:00,20:25:00,2010-04-21 20:25:00,24.0,,
2010-04-21,HV,4,21:00:00,21:00:00,2010-04-21 21:00:00,24.0,,
2010-04-21,HV,5,21:35:00,21:35:00,2010-04-21 21:35:00,24.0,,
2010-04-21,HV,6,22:10:00,22:10:00,2010-04-21 22:10:00,24.0,,
2010-04-21,HV,7,22:45:00,22:45:00,2010-04-21 22:45:00,24.0,,
2010-04-21,HV,8,23:20:00,23:20:00,2010-04-21 23:20:00,24.0,,
2010-04-25,ST,1,12:45:00,12:45:00,2010-04-25 12:45:00,24.0,,0.0
2010-04-25,ST,2,13:20:00,13:20:00,2010-04-25 13:20:00,24.0,,0.0
2010-04-25,ST,3,13:55:00,13:55:00,2010-04-25 13:55:00,24.0,,0.0
2010-04-25,ST,4,14:30:00,14:30:00,2010-04-25 14:30:00,24.0,,0.0
2010-04-25,ST,5,15:05:00,15:05:00,2010-04-25 15:05:00,24.0,,0.0
2010-04-25,ST,6,15:40:00,15:40:00,2010-04-25 15:40:00,24.0,,0.0
2010-04-25,ST,7,16:15:00,16:15:00,2010-04-25 16:15:00,24.0,,0.0
2010-04-25,ST,8,16:50:00,16:50:00,2010-04-25 16:50:00,24.0,,0.0
2010-04-25,ST,9,17:25:00,17:25:00,2010-04-25 17:25:00,24.0,,0.0
2010-04-25,ST,10,18:00:00,18:00:00,2010-04-25 18:00:00,24.0,,0.0
2010-04-28,HV,1,19:15:00,19:15:00,2010-04-28 19:15:00,24.0,,
2010-04-28,HV,2,19:50:00,19:50:00,2010-04-28 19:50:00,24.0,,
2010-04-28,HV,3,20:25:00,20:25:00,2010-04-28 20:25:00,24.0,,
2010-04-28,HV,4,21:00:00,21:00:00,2010-04-28 21:00:00,24.0,,
2010-04-28,HV,5,21:35:00,21:35:00,2010-04-28 21:35:00,24.0,,
2010-04-28,HV,6,22:10:00,22:10:00,2010-04-28 22:10:00,24.0,,
2010-04-28,HV,7,22:45:00,22:45:00,2010-04-28 22:45:00,24.0,,
2010-04-28,HV,8,23:20:00,23:20:00,2010-04-28 23:20:00,24.0,,
2010-05-01,ST,1,12:25:00,12:25:00,2010-05-01 12:25:00,24.0,,0.0
2010-05-01,ST,2,13:00:00,13:00:00,2010-05-01 13:00:00,24.0,,0.0
2010-05-01,ST,3,13:35:00,13:35:00,2010-05-01 13:35:00,24.0,,0.0
2010-05-01,ST,4,14:10:00,14:10:00,2010-05-01 14:10:00,24.0,,0.0
2010-05-01,ST,5,14:45:00,14:45:00,2010-05-01 14:45:00,24.0,,0.0
2010-05-01,ST,6,15:20:00,15:20:00,2010-05-01 15:20:00,24.0,,0.0
2010-05-01,ST,7,15:55:00,15:55:00,2010-05-01 15:55:00,24.0,,0.0
